source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
eosat,eogs1,723961.608,724339.628,8000000,0.057,low_dl
eogs1,eosat,723961.608,724339.628,64000,0.057,low_ul
eosat,eogs2,744548.943,745029.129,10000000000,0.057,high_dl
eosat,eogs1,746977.191,747512.740,8000000,0.057,low_dl
eogs1,eosat,746977.191,747512.740,64000,0.057,low_ul
eogs1,eosat,770577.384,770963.698,64000,0.057,low_ul
eosat,eogs1,770577.384,770963.698,8000000,0.057,low_dl
eosat,eogs2,784886.031,785290.230,10000000000,0.057,high_dl
eosat,eogs1,793985.397,794511.816,8000000,0.057,low_dl
eogs1,eosat,793985.397,794511.816,64000,0.057,low_ul
eosat,eogs1,817112.615,817509.420,8000000,0.057,low_dl
eogs1,eosat,817112.615,817509.420,64000,0.057,low_ul
eosat,eogs2,831975.484,832477.085,10000000000,0.057,high_dl
eogs1,eosat,840265.721,840776.233,64000,0.057,low_ul
eosat,eogs1,840265.721,840776.233,8000000,0.057,low_dl
eosat,eogs1,863897.991,864343.782,8000000,0.057,low_dl
eogs1,eosat,863897.991,864343.782,64000,0.057,low_ul
eosat,eogs2,872282.332,872720.045,10000000000,0.057,high_dl
eosat,eogs1,887225.796,887690.400,8000000,0.057,low_dl
eogs1,eosat,887225.796,887690.400,64000,0.057,low_ul
eogs1,eosat,910251.802,910725.565,64000,0.057,low_ul
eosat,eogs1,910251.802,910624.000,8000000,0.057,low_dl
eosat,eogs1,910627.000,910631.000,8000000,0.057,low_dl
eosat,eogs1,910633.000,910705.000,8000000,0.057,low_dl
eosat,eogs1,910707.000,910725.565,8000000,0.057,low_dl
eosat,eogs2,913581.372,913979.225,10000000000,0.057,high_dl
eosat,eogs1,933624.824,934061.304,8000000,0.057,low_dl
eogs1,eosat,933624.824,934061.304,64000,0.057,low_ul
eosat,eogs1,957179.796,957696.496,8000000,0.057,low_dl
eogs1,eosat,957179.796,957696.496,64000,0.057,low_ul
eosat,eogs2,959683.116,959794.000,10000000000,0.057,high_dl
eosat,eogs2,959797.000,960047.000,10000000000,0.057,high_dl
eosat,eogs2,960050.000,960106.000,10000000000,0.057,high_dl
eosat,eogs2,960109.000,960125.000,10000000000,0.057,high_dl
eosat,eogs2,960128.000,960149.343,10000000000,0.057,high_dl
eosat,eogs1,980437.548,980827.657,8000000,0.057,low_dl
eogs1,eosat,980437.548,980827.657,64000,0.057,low_ul
