source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
eosat,eogs1,205242.138,205630.155,8000000,0.057,low_dl
eogs1,eosat,210996.657,211374.048,64000,0.057,low_ul
eosat,eogs1,210996.657,211374.048,8000000,0.057,low_dl
eogs1,eosat,216726.756,217151.855,64000,0.057,low_ul
eosat,eogs1,216726.756,217151.855,8000000,0.057,low_dl
eosat,eogs2,220007.699,220229.528,10000000000,0.057,high_dl
eogs1,eosat,222465.947,222955.946,64000,0.057,low_ul
eosat,eogs1,222465.947,222955.946,8000000,0.057,low_dl
eosat,eogs2,225813.344,226254.691,10000000000,0.057,high_dl
eogs1,eosat,228244.109,228775.350,64000,0.057,low_ul
eosat,eogs1,228244.109,228775.350,8000000,0.057,low_dl
eosat,eogs2,231636.698,232166.837,10000000000,0.057,high_dl
eogs1,eosat,234076.189,234605.427,64000,0.057,low_ul
eosat,eogs1,234076.189,234605.427,8000000,0.057,low_dl
eosat,eogs2,237465.784,237974.225,10000000000,0.057,high_dl
eogs1,eosat,239962.704,240447.059,64000,0.057,low_ul
eosat,eogs1,239962.704,240447.059,8000000,0.057,low_dl
eosat,eogs2,243301.492,243682.511,10000000000,0.057,high_dl
eogs1,eosat,245887.428,246307.253,64000,0.057,low_ul
eosat,eogs1,245887.428,246307.253,8000000,0.057,low_dl
eosat,eogs2,249170.988,249280.602,10000000000,0.057,high_dl
eogs1,eosat,251814.985,252199.242,64000,0.057,low_ul
eosat,eogs1,251814.985,252199.242,8000000,0.057,low_dl
eogs1,eosat,257711.149,258124.567,64000,0.057,low_ul
eosat,eogs1,257711.149,258124.567,8000000,0.057,low_dl
eogs1,eosat,263574.161,264051.644,64000,0.057,low_ul
eosat,eogs1,263574.161,264051.644,8000000,0.057,low_dl
eosat,eogs2,266199.134,266548.145,10000000000,0.057,high_dl
eogs1,eosat,269417.372,269943.547,64000,0.057,low_ul
eosat,eogs1,269417.372,269943.547,8000000,0.057,low_dl
eosat,eogs2,271891.296,272385.736,10000000000,0.057,high_dl
eogs1,eosat,275248.589,275781.900,64000,0.057,low_ul
eosat,eogs1,275248.589,275781.900,8000000,0.057,low_dl
eosat,eogs2,277681.667,278215.680,10000000000,0.057,high_dl
eogs1,eosat,281069.294,281565.569,64000,0.057,low_ul
eosat,eogs1,281069.294,281565.569,8000000,0.057,low_dl
eosat,eogs2,283575.934,284040.230,10000000000,0.057,high_dl
eogs1,eosat,286875.515,287307.869,64000,0.057,low_ul
eosat,eogs1,286875.515,287307.869,8000000,0.057,low_dl
eosat,eogs2,289580.299,289851.672,10000000000,0.057,high_dl
eogs1,eosat,292656.878,293037.154,64000,0.057,low_ul
eosat,eogs1,292656.878,293037.154,8000000,0.057,low_dl
eogs1,eosat,298404.185,298787.915,64000,0.057,low_ul
eosat,eogs1,298404.185,298787.915,8000000,0.057,low_dl
eogs1,eosat,304133.124,304572.542,64000,0.057,low_ul
eosat,eogs1,304133.124,304572.542,8000000,0.057,low_dl
eosat,eogs2,307426.547,307711.158,10000000000,0.057,high_dl
eogs1,eosat,309878.727,310380.676,64000,0.057,low_ul
eosat,eogs1,309878.727,310380.676,8000000,0.057,low_dl
eosat,eogs2,313239.283,313709.703,10000000000,0.057,high_dl
eogs1,eosat,315667.815,316202.581,64000,0.057,low_ul
eosat,eogs1,315667.815,316202.581,8000000,0.057,low_dl
eosat,eogs2,319064.155,319598.726,10000000000,0.057,high_dl
eogs1,eosat,321512.160,322034.906,64000,0.057,low_ul
eosat,eogs1,321512.160,322034.906,8000000,0.057,low_dl
eosat,eogs2,324894.359,325384.114,10000000000,0.057,high_dl
eogs1,eosat,327409.010,327879.714,64000,0.057,low_ul
eosat,eogs1,327409.010,327879.714,8000000,0.057,low_dl
eosat,eogs2,330732.597,331071.526,10000000000,0.057,high_dl
eogs1,eosat,333337.892,333745.593,64000,0.057,low_ul
eosat,eogs1,333337.892,333745.593,8000000,0.057,low_dl
eogs1,eosat,339260.676,339645.764,64000,0.057,low_ul
eosat,eogs1,339260.676,339645.764,8000000,0.057,low_dl
eogs1,eosat,345148.725,345575.015,64000,0.057,low_ul
eosat,eogs1,345148.725,345575.015,8000000,0.057,low_dl
eosat,eogs2,347982.285,348115.142,10000000000,0.057,high_dl
eogs1,eosat,351006.391,351497.065,64000,0.057,low_ul
eosat,eogs1,351006.391,351497.065,8000000,0.057,low_dl
eosat,eogs2,353589.191,353979.019,10000000000,0.057,high_dl
eogs1,eosat,356846.592,357378.245,64000,0.057,low_ul
eosat,eogs1,356846.592,357378.245,8000000,0.057,low_dl
eosat,eogs2,359302.239,359814.245,10000000000,0.057,high_dl
eogs1,eosat,362675.586,363204.332,64000,0.057,low_ul
eosat,eogs1,362675.586,363204.332,8000000,0.057,low_dl
eosat,eogs2,365114.674,365643.083,10000000000,0.057,high_dl
eogs1,eosat,368493.694,368977.397,64000,0.057,low_ul
eosat,eogs1,368493.694,368977.397,8000000,0.057,low_dl
eosat,eogs2,371032.114,371466.048,10000000000,0.057,high_dl
eogs1,eosat,374295.618,374713.964,64000,0.057,low_ul
eosat,eogs1,374295.618,374713.964,8000000,0.057,low_dl
eosat,eogs2,377063.894,377269.378,10000000000,0.057,high_dl
eogs1,eosat,380069.901,380445.267,64000,0.057,low_ul
eosat,eogs1,380069.901,380445.267,8000000,0.057,low_dl
eogs1,eosat,385810.763,386203.474,64000,0.057,low_ul
eosat,eogs1,385810.763,386203.474,8000000,0.057,low_dl
eogs1,eosat,391540.324,391994.316,64000,0.057,low_ul
eosat,eogs1,391540.324,391994.316,8000000,0.057,low_dl
eosat,eogs2,394848.590,395185.774,10000000000,0.057,high_dl
eogs1,eosat,397293.610,397806.027,64000,0.057,low_ul
eosat,eogs1,397293.610,397806.027,8000000,0.057,low_dl
eosat,eogs2,400665.676,401159.620,10000000000,0.057,high_dl
eogs1,eosat,403094.170,403630.283,64000,0.057,low_ul
eosat,eogs1,403094.170,403630.283,8000000,0.057,low_dl
eosat,eogs2,406491.841,407025.736,10000000000,0.057,high_dl
eogs1,eosat,408950.664,409464.948,64000,0.057,low_ul
eosat,eogs1,408950.664,409464.948,8000000,0.057,low_dl
eosat,eogs2,412323.258,412789.414,10000000000,0.057,high_dl
eogs1,eosat,414856.905,415313.329,64000,0.057,low_ul
eosat,eogs1,414856.905,415313.329,8000000,0.057,low_dl
eosat,eogs2,418165.061,418455.778,10000000000,0.057,high_dl
eogs1,eosat,420788.044,421185.608,64000,0.057,low_ul
eosat,eogs1,420788.044,421185.608,8000000,0.057,low_dl
eogs1,eosat,426704.564,427093.815,64000,0.057,low_ul
eosat,eogs1,426704.564,427093.815,8000000,0.057,low_dl
eogs1,eosat,432584.860,433025.090,64000,0.057,low_ul
eosat,eogs1,432584.860,433025.090,8000000,0.057,low_dl
eosat,eogs2,435348.469,435558.733,10000000000,0.057,high_dl
eogs1,eosat,438437.832,438940.485,64000,0.057,low_ul
eosat,eogs1,438437.832,438940.485,8000000,0.057,low_dl
eosat,eogs2,440983.756,441409.080,10000000000,0.057,high_dl
eogs1,eosat,444275.306,444810.295,64000,0.057,low_ul
eosat,eogs1,444275.306,444810.295,8000000,0.057,low_dl
eosat,eogs2,446717.851,447242.487,10000000000,0.057,high_dl
eogs1,eosat,450102.091,450624.221,64000,0.057,low_ul
eosat,eogs1,450102.091,450624.221,8000000,0.057,low_dl
eosat,eogs2,452552.623,453070.237,10000000000,0.057,high_dl
eogs1,eosat,455917.362,456387.448,64000,0.057,low_ul
eosat,eogs1,455917.362,456387.448,8000000,0.057,low_dl
eosat,eogs2,458493.471,458891.217,10000000000,0.057,high_dl
eogs1,eosat,461714.418,462119.791,64000,0.057,low_ul
eosat,eogs1,461714.418,462119.791,8000000,0.057,low_dl
eosat,eogs2,464561.497,464676.452,10000000000,0.057,high_dl
eogs1,eosat,467481.215,467854.778,64000,0.057,low_ul
eosat,eogs1,467481.215,467854.778,8000000,0.057,low_dl
eogs1,eosat,473216.764,473620.633,64000,0.057,low_ul
eosat,eogs1,473216.764,473620.633,8000000,0.057,low_dl
eosat,eogs2,476506.368,476560.678,10000000000,0.057,high_dl
eogs1,eosat,478948.697,479417.045,64000,0.057,low_ul
eosat,eogs1,478948.697,479417.045,8000000,0.057,low_dl
eosat,eogs2,482272.365,482654.555,10000000000,0.057,high_dl
eogs1,eosat,484710.770,485231.945,64000,0.057,low_ul
eosat,eogs1,484710.770,485231.945,8000000,0.057,low_dl
eosat,eogs2,488092.429,488604.489,10000000000,0.057,high_dl
eogs1,eosat,490523.206,491058.456,64000,0.057,low_ul
eosat,eogs1,490523.206,491058.456,8000000,0.057,low_dl
eosat,eogs2,493919.753,494447.925,10000000000,0.057,high_dl
eogs1,eosat,496391.577,496895.609,64000,0.057,low_ul
eosat,eogs1,496391.577,496895.609,8000000,0.057,low_dl
eosat,eogs2,499752.557,500190.186,10000000000,0.057,high_dl
eogs1,eosat,502306.046,502748.043,64000,0.057,low_ul
eosat,eogs1,502306.046,502748.043,8000000,0.057,low_dl
eosat,eogs2,505599.861,505834.563,10000000000,0.057,high_dl
eogs1,eosat,508237.433,508627.418,64000,0.057,low_ul
eosat,eogs1,508237.433,508627.418,8000000,0.057,low_dl
eogs1,eosat,514146.601,514543.079,64000,0.057,low_ul
eosat,eogs1,514146.601,514543.079,8000000,0.057,low_dl
eogs1,eosat,520019.720,520474.359,64000,0.057,low_ul
eosat,eogs1,520019.720,520474.359,8000000,0.057,low_dl
eosat,eogs2,522724.715,522994.951,10000000000,0.057,high_dl
eogs1,eosat,525868.574,526381.685,64000,0.057,low_ul
eosat,eogs1,525868.574,526381.685,8000000,0.057,low_dl
eosat,eogs2,528382.799,528838.562,10000000000,0.057,high_dl
eogs1,eosat,531703.538,532239.664,64000,0.057,low_ul
eosat,eogs1,531703.538,532239.664,8000000,0.057,low_dl
eosat,eogs2,534138.200,534670.488,10000000000,0.057,high_dl
eogs1,eosat,537528.076,538041.673,64000,0.057,low_ul
eosat,eogs1,537528.076,538041.673,8000000,0.057,low_dl
eosat,eogs2,539995.561,540497.110,10000000000,0.057,high_dl
eogs1,eosat,543340.201,543795.988,64000,0.057,low_ul
eosat,eogs1,543340.201,543795.988,8000000,0.057,low_dl
eosat,eogs2,545960.142,546315.463,10000000000,0.057,high_dl
eogs1,eosat,549131.766,549525.748,64000,0.057,low_ul
eosat,eogs1,549131.766,549525.748,8000000,0.057,low_dl
eogs1,eosat,554890.914,555265.886,64000,0.057,low_ul
eosat,eogs1,554890.914,555265.886,8000000,0.057,low_dl
eogs1,eosat,560622.585,561039.262,64000,0.057,low_ul
eosat,eogs1,560622.585,561039.262,8000000,0.057,low_dl
eosat,eogs2,563898.837,564074.071,10000000000,0.057,high_dl
eogs1,eosat,566358.546,566840.616,64000,0.057,low_ul
eosat,eogs1,566358.546,566840.616,8000000,0.057,low_dl
eosat,eogs2,569697.221,570117.935,10000000000,0.057,high_dl
eogs1,eosat,572130.351,572658.388,64000,0.057,low_ul
eosat,eogs1,572130.351,572658.388,8000000,0.057,low_dl
eosat,eogs2,575519.479,576044.353,10000000000,0.057,high_dl
eogs1,eosat,577954.927,578487.109,64000,0.057,low_ul
eosat,eogs1,577954.927,578487.109,8000000,0.057,low_dl
eosat,eogs2,581347.900,581865.353,10000000000,0.057,high_dl
eogs1,eosat,583834.733,584326.959,64000,0.057,low_ul
eosat,eogs1,583834.733,584326.959,8000000,0.057,low_dl
eosat,eogs2,587182.374,587586.474,10000000000,0.057,high_dl
eogs1,eosat,589756.046,590184.012,64000,0.057,low_ul
eosat,eogs1,589756.046,590184.012,8000000,0.057,low_dl
eosat,eogs2,593039.610,593205.583,10000000000,0.057,high_dl
eogs1,eosat,595685.654,596071.077,64000,0.057,low_ul
eosat,eogs1,595685.654,596071.077,8000000,0.057,low_dl
eogs1,eosat,601586.834,601993.160,64000,0.057,low_ul
eosat,eogs1,601586.834,601993.160,8000000,0.057,low_dl
eogs1,eosat,607453.464,607922.427,64000,0.057,low_ul
eosat,eogs1,607453.464,607922.427,8000000,0.057,low_dl
eosat,eogs2,610106.991,610428.152,10000000000,0.057,high_dl
eogs1,eosat,613298.690,613820.494,64000,0.057,low_ul
eosat,eogs1,613298.690,613820.494,8000000,0.057,low_dl
eosat,eogs2,615786.350,616267.605,10000000000,0.057,high_dl
eogs1,eosat,619131.298,619666.349,64000,0.057,low_ul
eosat,eogs1,619131.298,619666.349,8000000,0.057,low_dl
eosat,eogs2,621563.349,622098.260,10000000000,0.057,high_dl
eogs1,eosat,624953.500,625456.828,64000,0.057,low_ul
eosat,eogs1,624953.500,625456.828,8000000,0.057,low_dl
eosat,eogs2,627443.531,627923.651,10000000000,0.057,high_dl
eogs1,eosat,630762.100,631203.315,64000,0.057,low_ul
eosat,eogs1,630762.100,631203.315,8000000,0.057,low_dl
eosat,eogs2,633432.434,633738.282,10000000000,0.057,high_dl
eogs1,eosat,636547.528,636932.235,64000,0.057,low_ul
eosat,eogs1,636547.528,636932.235,8000000,0.057,low_dl
eogs1,eosat,642299.186,642678.697,64000,0.057,low_ul
eosat,eogs1,642299.186,642678.697,8000000,0.057,low_dl
eogs1,eosat,648028.626,648459.213,64000,0.057,low_ul
eosat,eogs1,648028.626,648459.213,8000000,0.057,low_dl
eosat,eogs2,651313.940,651561.616,10000000000,0.057,high_dl
eogs1,eosat,653770.141,654264.931,64000,0.057,low_ul
eosat,eogs1,653770.141,654264.931,8000000,0.057,low_dl
eosat,eogs2,657122.814,657576.097,10000000000,0.057,high_dl
eogs1,eosat,659552.464,660085.325,64000,0.057,low_ul
eosat,eogs1,659552.464,660085.325,8000000,0.057,low_dl
eosat,eogs2,662946.790,663479.256,10000000000,0.057,high_dl
eogs1,eosat,665389.301,665916.266,64000,0.057,low_ul
eosat,eogs1,665389.301,665916.266,8000000,0.057,low_dl
eosat,eogs2,668776.302,669278.085,10000000000,0.057,high_dl
eogs1,eosat,671279.921,671759.087,64000,0.057,low_ul
eosat,eogs1,671279.921,671759.087,8000000,0.057,low_dl
eosat,eogs2,674612.899,674978.277,10000000000,0.057,high_dl
eogs1,eosat,677206.473,677621.400,64000,0.057,low_ul
eosat,eogs1,677206.473,677621.400,8000000,0.057,low_dl
eosat,eogs2,680500.157,680553.337,10000000000,0.057,high_dl
eogs1,eosat,683132.379,683516.551,64000,0.057,low_ul
eosat,eogs1,683132.379,683516.551,8000000,0.057,low_dl
eogs1,eosat,689025.373,689443.611,64000,0.057,low_ul
eosat,eogs1,689025.373,689443.611,8000000,0.057,low_dl
eosat,eogs2,691918.901,691972.668,10000000000,0.057,high_dl
eogs1,eosat,694886.231,695368.947,64000,0.057,low_ul
eosat,eogs1,694886.231,695368.947,8000000,0.057,low_dl
eosat,eogs2,697494.216,697859.707,10000000000,0.057,high_dl
eogs1,eosat,700728.237,701256.783,64000,0.057,low_ul
eosat,eogs1,700728.237,701256.783,8000000,0.057,low_dl
eosat,eogs2,703194.465,703696.298,10000000000,0.057,high_dl
eogs1,eosat,706558.588,707090.380,64000,0.057,low_ul
eosat,eogs1,706558.588,707090.380,8000000,0.057,low_dl
eosat,eogs2,708993.354,709525.807,10000000000,0.057,high_dl
eogs1,eosat,712378.310,712869.858,64000,0.057,low_ul
eosat,eogs1,712378.310,712869.858,8000000,0.057,low_dl
eosat,eogs2,714896.577,715349.778,10000000000,0.057,high_dl
eogs1,eosat,718182.929,718609.767,64000,0.057,low_ul
eosat,eogs1,718182.929,718609.767,8000000,0.057,low_dl
eosat,eogs2,720911.130,721158.632,10000000000,0.057,high_dl
eogs1,eosat,723961.608,724339.628,64000,0.057,low_ul
eosat,eogs1,723961.608,724339.628,8000000,0.057,low_dl
eogs1,eosat,729706.305,730093.228,64000,0.057,low_ul
eosat,eogs1,729706.305,730093.228,8000000,0.057,low_dl
eogs1,eosat,735435.275,735880.338,64000,0.057,low_ul
eosat,eogs1,735435.275,735880.338,8000000,0.057,low_dl
eosat,eogs2,738734.300,739040.293,10000000000,0.057,high_dl
eogs1,eosat,741183.714,741689.909,64000,0.057,low_ul
eosat,eogs1,741183.714,741689.909,8000000,0.057,low_dl
eosat,eogs2,744548.943,745029.129,10000000000,0.057,high_dl
eogs1,eosat,746977.191,747512.740,64000,0.057,low_ul
eosat,eogs1,746977.191,747512.740,8000000,0.057,low_dl
eosat,eogs2,750374.337,750909.248,10000000000,0.057,high_dl
eogs1,eosat,752826.266,753345.958,64000,0.057,low_ul
eosat,eogs1,752826.266,753345.958,8000000,0.057,low_dl
eosat,eogs2,756204.996,756686.188,10000000000,0.057,high_dl
eogs1,eosat,758726.880,759192.099,64000,0.057,low_ul
eosat,eogs1,758726.880,759192.099,8000000,0.057,low_dl
eosat,eogs2,762044.458,762365.490,10000000000,0.057,high_dl
eogs1,eosat,764656.871,765060.372,64000,0.057,low_ul
eosat,eogs1,764656.871,765060.372,8000000,0.057,low_dl
eogs1,eosat,770577.384,770963.698,64000,0.057,low_ul
eosat,eogs1,770577.384,770963.698,8000000,0.057,low_dl
eogs1,eosat,776462.370,776893.969,64000,0.057,low_ul
eosat,eogs1,776462.370,776893.969,8000000,0.057,low_dl
eosat,eogs2,779266.843,779433.033,10000000000,0.057,high_dl
eogs1,eosat,782318.144,782813.622,64000,0.057,low_ul
eosat,eogs1,782318.144,782813.622,8000000,0.057,low_dl
eosat,eogs2,784886.031,785290.230,10000000000,0.057,high_dl
eogs1,eosat,788157.258,788690.462,64000,0.057,low_ul
eosat,eogs1,788157.258,788690.462,8000000,0.057,low_dl
eosat,eogs2,790607.210,791124.699,10000000000,0.057,high_dl
eogs1,eosat,793985.397,794511.816,64000,0.057,low_ul
eosat,eogs1,793985.397,794511.816,8000000,0.057,low_dl
eosat,eogs2,796428.271,796953.116,10000000000,0.057,high_dl
eogs1,eosat,799802.437,800280.968,64000,0.057,low_ul
eosat,eogs1,799802.437,800280.968,8000000,0.057,low_dl
eosat,eogs2,802354.752,802775.369,10000000000,0.057,high_dl
eogs1,eosat,805602.545,806015.712,64000,0.057,low_ul
eosat,eogs1,805602.545,806015.712,8000000,0.057,low_dl
eosat,eogs2,808398.708,808573.712,10000000000,0.057,high_dl
eogs1,eosat,811373.964,811748.254,64000,0.057,low_ul
eosat,eogs1,811373.964,811748.254,8000000,0.057,low_dl
eogs1,eosat,817112.615,817509.420,64000,0.057,low_ul
eosat,eogs1,817112.615,817509.420,8000000,0.057,low_dl
eogs1,eosat,822842.891,823302.497,64000,0.057,low_ul
eosat,eogs1,822842.891,823302.497,8000000,0.057,low_dl
eosat,eogs2,826157.124,826512.569,10000000000,0.057,high_dl
eogs1,eosat,828599.460,829115.486,64000,0.057,low_ul
eosat,eogs1,828599.460,829115.486,8000000,0.057,low_dl
eosat,eogs2,831975.484,832477.085,10000000000,0.057,high_dl
eogs1,eosat,834404.583,834940.624,64000,0.057,low_ul
eosat,eogs1,834404.583,834940.624,8000000,0.057,low_dl
eosat,eogs2,837802.110,838334.383,10000000000,0.057,high_dl
eogs1,eosat,840265.721,840776.233,64000,0.057,low_ul
eosat,eogs1,840265.721,840776.233,8000000,0.057,low_dl
eosat,eogs2,843634.039,844089.726,10000000000,0.057,high_dl
eogs1,eosat,846175.301,846626.123,64000,0.057,low_ul
eosat,eogs1,846175.301,846626.123,8000000,0.057,low_dl
eosat,eogs2,849477.665,849747.752,10000000000,0.057,high_dl
eogs1,eosat,852106.778,852501.072,64000,0.057,low_ul
eosat,eogs1,852106.778,852501.072,8000000,0.057,low_dl
eogs1,eosat,858020.554,858412.262,64000,0.057,low_ul
eosat,eogs1,858020.554,858412.262,8000000,0.057,low_dl
eogs1,eosat,863897.991,864343.782,64000,0.057,low_ul
eosat,eogs1,863897.991,864343.782,8000000,0.057,low_dl
eosat,eogs2,866637.892,866872.761,10000000000,0.057,high_dl
eogs1,eosat,869749.304,870256.204,64000,0.057,low_ul
eosat,eogs1,869749.304,870256.204,8000000,0.057,low_dl
eosat,eogs2,872282.332,872720.045,10000000000,0.057,high_dl
eogs1,eosat,875585.783,876121.475,64000,0.057,low_ul
eosat,eogs1,875585.783,876121.475,8000000,0.057,low_dl
eosat,eogs2,878024.651,878552.845,10000000000,0.057,high_dl
eogs1,eosat,881411.704,881930.745,64000,0.057,low_ul
eosat,eogs1,881411.704,881930.745,8000000,0.057,low_dl
eosat,eogs2,883868.148,884380.167,10000000000,0.057,high_dl
eogs1,eosat,887225.796,887690.400,64000,0.057,low_ul
eosat,eogs1,887225.796,887690.400,8000000,0.057,low_dl
eosat,eogs2,889818.147,890200.223,10000000000,0.057,high_dl
eogs1,eosat,893020.800,893421.541,64000,0.057,low_ul
eosat,eogs1,893020.800,893421.541,8000000,0.057,low_dl
eosat,eogs2,895912.320,895965.971,10000000000,0.057,high_dl
eogs1,eosat,898784.636,899158.364,64000,0.057,low_ul
eosat,eogs1,898784.636,899158.364,8000000,0.057,low_dl
eogs1,eosat,904518.498,904927.165,64000,0.057,low_ul
eosat,eogs1,904518.498,904927.165,8000000,0.057,low_dl
eosat,eogs2,907796.054,907911.331,10000000000,0.057,high_dl
eogs1,eosat,910251.802,910725.565,64000,0.057,low_ul
eosat,eogs1,910251.802,910725.565,8000000,0.057,low_dl
eosat,eogs2,913581.372,913979.225,10000000000,0.057,high_dl
eogs1,eosat,916017.543,916541.612,64000,0.057,low_ul
eosat,eogs1,916017.543,916541.612,8000000,0.057,low_dl
