source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
mgs2,mre2,226679.072,230109.304,300000000,1201.930,trunk
mre2,mgs2,226679.072,230109.304,300000000,1201.930,trunk
mr1,mre3,244099.535,245599.535,150000000,0.076,low_ul
mre3,mr1,244099.535,245599.535,10000000,0.076,low_dl
mr2,mre2,251890.248,252366.980,150000000,0.053,low_ul
mre2,mr2,251890.248,252366.980,10000000,0.053,low_dl
mgs1,mre3,253021.103,267181.103,300000000,1201.826,trunk
mre3,mgs1,253021.103,267181.103,300000000,1201.826,high_dl
mr2,mre3,263166.980,264666.980,150000000,0.076,low_ul
mre3,mr2,263166.980,264666.980,10000000,0.076,low_dl
mgs1,mre1,274076.263,280083.524,300000000,1201.688,trunk
mre1,mgs1,274076.263,280083.524,300000000,1201.688,high_dl
mgs1,mre1,281173.206,287188.488,300000000,1201.655,trunk
mre1,mgs1,281173.206,287188.488,300000000,1201.655,high_dl
mr1,mre3,283553.959,285053.959,150000000,0.076,low_ul
mre3,mr1,283553.959,285053.959,10000000,0.076,low_dl
mgs1,mre1,288270.094,294293.505,300000000,1201.626,trunk
mre1,mgs1,288270.094,294293.505,300000000,1201.626,high_dl
mgs2,mre3,291642.206,306042.206,300000000,1201.594,trunk
mre3,mgs2,291642.206,306042.206,300000000,1201.594,high_dl
mr2,mre3,292781.814,294281.814,150000000,0.076,low_ul
mre3,mr2,292781.814,294281.814,10000000,0.076,low_dl
mgs1,mre1,295366.920,297317.915,300000000,1201.599,trunk
mre1,mgs1,295366.920,297317.915,300000000,1201.599,high_dl
mr1,mre1,298216.046,298942.241,150000000,0.054,low_ul
mre1,mr1,298216.046,298942.241,10000000,0.054,low_dl
mgs2,mre2,307183.093,311546.582,300000000,1201.537,trunk
mre2,mgs2,307183.093,311546.582,300000000,1201.537,trunk
mgs2,mre2,313891.758,316500.257,300000000,1201.508,trunk
mre2,mgs2,313891.758,316500.257,300000000,1201.508,trunk
mr1,mre3,319739.197,321239.197,150000000,0.076,low_ul
mre3,mr1,319739.197,321239.197,10000000,0.076,low_dl
mr2,mre3,330775.233,332275.233,150000000,0.076,low_ul
mre3,mr2,330775.233,332275.233,10000000,0.076,low_dl
mr1,mre1,336490.847,337150.340,150000000,0.054,low_ul
mre1,mr1,336490.847,337150.340,10000000,0.054,low_dl
mgs1,mre1,339396.868,344030.248,300000000,1201.379,trunk
mre1,mgs1,339396.868,344030.248,300000000,1201.379,high_dl
mgs1,mre1,352139.528,358241.161,300000000,1201.309,trunk
mre1,mgs1,352139.528,358241.161,300000000,1201.309,high_dl
mr1,mre3,358002.100,359502.100,150000000,0.076,low_ul
mre3,mr1,358002.100,359502.100,10000000,0.076,low_dl
