source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
mgs1,mre1,0.000,3015.578,300000000,1202.973,trunk
mre1,mgs1,0.000,3015.578,300000000,1202.973,high_dl
mgs1,mre2,0.000,2984.962,300000000,1202.972,trunk
mre2,mgs1,0.000,2984.962,300000000,1202.972,high_dl
mgs1,mre3,0.000,38260.683,300000000,1202.963,trunk
mre3,mgs1,0.000,38260.683,300000000,1202.963,high_dl
mr2,mre3,0.000,4322.207,150000000,0.071,low_ul
mre3,mr2,0.000,4322.207,10000000,0.071,low_dl
mgs1,mre1,4366.745,10119.369,300000000,1202.961,trunk
mre1,mgs1,4366.745,10119.369,300000000,1202.961,high_dl
mgs1,mre2,5292.756,9692.786,300000000,1202.954,trunk
mre2,mgs1,5292.756,9692.786,300000000,1202.954,high_dl
mr2,mre1,7065.237,7794.360,150000000,0.054,low_ul
mre1,mr2,7065.237,7794.360,10000000,0.054,low_dl
mr1,mre2,10368.950,10878.430,150000000,0.053,low_ul
mre2,mr1,10368.950,10878.430,10000000,0.053,low_dl
mgs1,mre1,11464.912,17223.174,300000000,1202.924,trunk
mre1,mgs1,11464.912,17223.174,300000000,1202.924,high_dl
mgs1,mre2,12001.439,16400.613,300000000,1202.920,trunk
mre2,mgs1,12001.439,16400.613,300000000,1202.920,high_dl
mgs1,mre1,18563.058,24326.998,300000000,1202.891,trunk
mre1,mgs1,18563.058,24326.998,300000000,1202.891,high_dl
mgs1,mre2,18710.119,23108.439,300000000,1202.889,trunk
mre2,mgs1,18710.119,23108.439,300000000,1202.889,high_dl
mr1,mre3,19960.264,31313.335,150000000,0.076,low_ul
mre3,mr1,19960.264,31313.335,10000000,0.076,low_dl
mgs1,mre2,25418.798,29816.265,300000000,1202.862,trunk
mre2,mgs1,25418.798,29816.265,300000000,1202.862,high_dl
mgs1,mre1,25661.174,31430.846,300000000,1202.862,trunk
mre1,mgs1,25661.174,31430.846,300000000,1202.862,high_dl
mr2,mre2,27807.462,28340.633,150000000,0.053,low_ul
mre2,mr2,27807.462,28340.633,10000000,0.053,low_dl
mr1,mre1,28371.900,28967.657,150000000,0.054,low_ul
mre1,mr1,28371.900,28967.657,10000000,0.054,low_dl
mr2,mre3,29187.557,41055.379,150000000,0.076,low_ul
mre3,mr2,29187.557,41055.379,10000000,0.076,low_dl
mgs1,mre2,32127.474,36524.089,300000000,1202.837,trunk
mre2,mgs1,32127.474,36524.089,300000000,1202.837,high_dl
mgs2,mre3,32628.632,57331.272,300000000,1202.814,trunk
mre3,mgs2,32628.632,57331.272,300000000,1202.814,high_dl
mgs2,mre2,32629.159,36524.096,300000000,1202.838,trunk
mre2,mgs2,32629.159,36524.096,300000000,1202.838,trunk
mgs2,mre1,32759.230,38534.832,300000000,1202.843,trunk
mre1,mgs2,32759.230,38534.832,300000000,1202.843,high_dl
mgs1,mre1,32759.258,38260.947,300000000,1202.837,trunk
mre1,mgs1,32759.258,38260.947,300000000,1202.837,high_dl
mr1,mre1,35703.055,36104.313,150000000,0.054,low_ul
mre1,mr1,35703.055,36104.313,10000000,0.054,low_dl
mgs2,mre2,38836.183,43231.930,300000000,1202.810,trunk
mre2,mgs2,38836.183,43231.930,300000000,1202.810,trunk
mgs2,mre1,39857.301,45638.727,300000000,1202.806,trunk
mre1,mgs2,39857.301,45638.727,300000000,1202.806,high_dl
mr2,mre1,45335.946,45983.536,150000000,0.054,low_ul
mre1,mr2,45335.946,45983.536,10000000,0.054,low_dl
mgs2,mre2,45544.863,49939.764,300000000,1202.778,trunk
mre2,mgs2,45544.863,49939.764,300000000,1202.778,trunk
mgs2,mre1,46955.348,52742.642,300000000,1202.773,trunk
mre1,mgs2,46955.348,52742.642,300000000,1202.773,high_dl
mgs2,mre2,52253.540,56647.598,300000000,1202.749,trunk
mre2,mgs2,52253.540,56647.598,300000000,1202.749,trunk
mr2,mre1,52768.389,52972.285,150000000,0.054,low_ul
