source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
lre1,lb,179743.080,251135.045,1000000000,0.071,high_dl
lgs1,lgw,216783.346,249197.910,300000000,1.298,low_ul
lgw,lgs1,216783.346,249197.910,100000000,1.298,high_dl
lgs1,lre1,217804.962,246890.623,300000000,1.230,low_ul
lre1,lgs1,217804.962,246890.623,100000000,1.230,high_dl
lgs1,lb,218493.509,247131.177,50000000,1.255,dwe_ul
lb,lgs1,218493.509,247131.177,250000000,1.255,dwe_dl
lre2,lgw,231976.667,316469.372,150000000,0.260,prox
lgw,lre2,231976.667,316469.372,150000000,0.260,prox
lgw,lre2,231976.667,316469.372,150000000,0.260,prox
lre2,lgw,231976.667,316469.372,150000000,0.260,prox
lgs2,lre2,238121.225,286290.424,300000000,1.245,low_ul
lre2,lgs2,238121.225,286290.424,100000000,1.245,high_dl
lgs2,lb,238372.157,286915.929,50000000,1.257,dwe_ul
lb,lgs2,238372.157,286915.929,250000000,1.257,dwe_dl
lb,lre2,238397.480,309568.508,150000000,0.073,low_ul
lre2,lb,238397.480,309568.508,1000000000,0.073,high_dl
lgs2,lgw,240417.925,284569.181,300000000,1.306,low_ul
lgw,lgs2,240417.925,284569.181,1000000000,1.306,high_dl
lb,lre1,266121.064,337516.352,150000000,0.071,low_ul
lre1,lb,266121.064,337516.352,1000000000,0.071,high_dl
lgs3,lre2,267418.463,314337.828,300000000,1.271,low_ul
lre2,lgs3,267418.463,314337.828,100000000,1.271,high_dl
lgs3,lb,267494.637,314150.313,50000000,1.261,dwe_ul
lb,lgs3,267494.637,314150.313,250000000,1.261,dwe_dl
lgs3,lre1,267842.873,313578.396,300000000,1.251,low_ul
lre1,lgs3,267842.873,313578.396,100000000,1.251,high_dl
lgs3,lgw,269017.274,311969.199,300000000,1.316,low_ul
lgw,lgs3,269017.274,311969.199,100000000,1.316,high_dl
lrov,lre2,269519.606,314678.351,150000000,0.104,low_ul
lre2,lrov,269519.606,314678.351,1000000000,0.104,high_dl
lgs1,lgw,305288.954,339384.520,300000000,1.327,low_ul
lgw,lgs1,305288.954,339384.520,100000000,1.327,high_dl
lgs1,lre1,307137.309,337790.174,300000000,1.242,low_ul
lre1,lgs1,307137.309,337790.174,100000000,1.242,high_dl
lgs1,lb,307756.704,338093.916,50000000,1.267,dwe_ul
lb,lgs1,307756.704,338093.916,250000000,1.267,dwe_dl
lre2,lgw,318300.412,402726.619,150000000,0.291,prox
lgw,lre2,318300.412,402726.619,150000000,0.291,prox
lgw,lre2,318300.412,402726.619,150000000,0.291,prox
lre2,lgw,318300.412,402726.619,150000000,0.291,prox
