source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type 
lgs2,lre2,419902.634,448532.201,300000000,1.271,low_ul
lgw,lgs2,429254.276,461404.485,1000000000,1.349,high_dl
lgs2,lgw,429254.276,461404.485,300000000,1.349,low_ul
lre2,lgs3,448532.201,483886.064,100000000,1.301,high_dl
lgs3,lre2,448532.201,483886.064,300000000,1.301,low_ul
lrov,lre2,455735.651,488283.226,150000000,0.102,low_ul
lre2,lrov,455735.651,488283.226,1000000000,0.102,high_dl
lgw,lgs3,461404.485,489131.642,100000000,1.351,high_dl
lgs3,lgw,461404.485,489131.642,300000000,1.351,low_ul
lre1,lgs1,484334.796,519301.884,100000000,1.278,high_dl
lgs1,lre1,484334.796,519301.884,300000000,1.278,low_ul
lgw,lgs1,489131.642,519007.084,100000000,1.352,high_dl
lgs1,lgw,489131.642,519007.084,300000000,1.352,low_ul
lre2,lgs2,510555.933,538584.15,100000000,1.29,high_dl
lgs2,lre2,510555.933,538584.15,300000000,1.29,low_ul
lgw,lgs2,519007.084,550157.306,1000000000,1.352,high_dl
lgs2,lgw,519007.084,550157.306,300000000,1.352,low_ul
lre2,lgs3,538824.15,570998.631,100000000,1.321,high_dl
lgs3,lre2,538824.15,570998.631,300000000,1.321,low_ul
lrov,lre2,548233.833,574909.845,150000000,0.099,low_ul
lre2,lrov,548233.833,574909.845,1000000000,0.099,high_dl
lgw,lgs3,550157.306,578168.402,100000000,1.35,high_dl
lgs3,lgw,550157.306,578168.402,300000000,1.35,low_ul
lre1,lgs1,572514.269,609629.293,100000000,1.3,high_dl
lgs1,lre1,572514.269,609629.293,300000000,1.3,low_ul
lre2,lgs3,574169.624,579673.632,100000000,1.33,high_dl
lgs3,lre2,574169.624,579673.632,300000000,1.33,low_ul
lgw,lgs1,578168.402,608939.607,100000000,1.347,high_dl
lgs1,lgw,578168.402,608939.607,300000000,1.347,low_ul
lre2,lgs2,601035.059,628962.813,100000000,1.31,high_dl
lgs2,lre2,601035.059,628962.813,300000000,1.31,low_ul
lrov,lre1,605957.178,612230.946,150000000,0.058,low_ul
lre1,lrov,605957.178,612230.946,1000000000,0.058,high_dl
lgw,lgs2,608939.607,639947.342,1000000000,1.343,high_dl
lgs2,lgw,608939.607,639947.342,300000000,1.343,low_ul
lgw,lre1,613130.946,616730.946,150000000,0.2,prox
lre1,lgw,613130.946,616730.946,150000000,0.2,prox
lb,lre2,622397.774,640194.095,150000000,0.073,low_ul
lre2,lb,622397.774,640194.095,1000000000,0.073,high_dl
lre2,lgs3,628962.813,658832.17,100000000,1.34,high_dl
lgs3,lre2,628962.813,658832.17,300000000,1.34,low_ul
lgw,lgs3,639947.342,667041.159,100000000,1.338,high_dl
lgs3,lgw,639947.342,667041.159,300000000,1.338,low_ul
lb,lgw,640194.095,1205492.235,150000000,0.077,low_ul
lgw,lb,640194.095,1205492.235,1000000000,0.077,high_dl
lre2,lgs3,660447.147,667536.28,100000000,1.348,high_dl
lgs3,lre2,660447.147,667536.28,300000000,1.348,low_ul
lre1,lgs1,660580.497,699595.398,100000000,1.323,high_dl
lgs1,lre1,660580.497,699595.398,300000000,1.323,low_ul
lgw,lgs1,667041.159,700154.599,100000000,1.353,high_dl
lgs1,lgw,667041.159,700154.599,300000000,1.353,low_ul
lre2,lgs2,691409.591,726845.73,100000000,1.33,high_dl
lgs2,lre2,691409.591,726845.73,300000000,1.33,low_ul
lrov,lre1,692179.265,703787.409,150000000,0.058,low_ul
lre1,lrov,692179.265,703787.409,1000000000,0.058,high_dl
lgw,lgs2,700154.599,725787.364,1000000000,1.372,high_dl
lgs2,lgw,700154.599,725787.364,300000000,1.372,low_ul
lgw,lre1,704687.409,708287.409,150000000,0.176,prox
lre1,lgw,704687.409,708287.409,150000000,0.176,prox
lgw,lgs3,725787.364,753531.235,100000000,1.388,high_dl
lgs3,lgw,725787.364,753531.235,300000000,1.388,low_ul
lre2,lgs3,726845.73,755292.454,100000000,1.358,high_dl
lgs3,lre2,726845.73,755292.454,300000000,1.358,low_ul
lrov,lre2,732837.482,747957.466,150000000,0.087,low_ul
lre2,lrov,732837.482,747957.466,1000000000,0.087,high_dl
lre1,lgs1,748626.641,779638.601,100000000,1.343,high_dl
lgs1,lre1,748626.641,779638.601,300000000,1.343,low_ul
