source,destination,contact_start(s),contact_end(s),data_rate(bps),delay(s),link_type # Simulation starting time: 2026-01-01T00:00:00 UTC
mre1,mr2,99675.327,99984.680,1000000,0.054,low_dl
mgs1,mre1,103738.591,109574.952,1000000,1202.498,trunk
mre1,mgs1,103738.591,109574.952,4000000,1202.498,trunk
mr2,mre3,104830.525,116744.635,15000000,0.076,low_ul
mre3,mr2,104830.525,116744.635,1000000,0.076,low_dl
mgs1,mre2,105922.933,110310.297,1000000,1202.487,trunk
mre2,mgs1,105922.933,110310.297,4000000,1202.487,trunk
mgs1,mre1,110836.397,116679.091,1000000,1202.468,trunk
mre1,mgs1,110836.397,116679.091,4000000,1202.468,trunk
mgs1,mre2,112631.607,117018.147,1000000,1202.460,trunk
mre2,mgs1,112631.607,117018.147,4000000,1202.460,trunk
mr2,mre2,115072.164,115534.959,15000000,0.053,low_ul
mre2,mr2,115072.164,115534.959,1000000,0.053,low_dl
mgs1,mre1,117934.165,123783.265,1000000,1202.441,trunk
mre1,mgs1,117934.165,123783.265,4000000,1202.441,trunk
mgs2,mre3,118967.733,143719.233,1000000,1202.455,trunk
mre3,mgs2,118967.733,143719.233,4000000,1202.455,trunk
mgs2,mre1,118968.327,123783.381,1000000,1202.439,trunk
mre1,mgs2,118968.327,123783.381,4000000,1202.439,trunk
mgs1,mre2,119340.279,123725.996,1000000,1202.435,trunk
mre2,mgs1,119340.279,123725.996,4000000,1202.435,trunk
mgs2,mre2,119340.307,123726.005,1000000,1202.441,trunk
mre2,mgs2,119340.307,123726.005,4000000,1202.441,trunk
mr1,mre1,120676.476,121409.057,15000000,0.054,low_ul
mre1,mr1,120676.476,121409.057,1000000,0.054,low_dl
mgs2,mre1,125031.876,130887.579,1000000,1202.412,trunk
mre1,mgs2,125031.876,130887.579,4000000,1202.412,trunk
mgs2,mre2,126048.984,130433.863,1000000,1202.405,trunk
mre2,mgs2,126048.984,130433.863,4000000,1202.405,trunk
mr1,mre3,131755.890,143703.694,15000000,0.076,low_ul
mre3,mr1,131755.890,143703.694,1000000,0.076,low_dl
mgs2,mre1,132129.596,137991.801,1000000,1202.377,trunk
mre1,mgs2,132129.596,137991.801,4000000,1202.377,trunk
mgs2,mre2,132757.660,137141.722,1000000,1202.373,trunk
mre2,mgs2,132757.660,137141.722,4000000,1202.373,trunk
mr2,mre1,137686.615,138401.027,15000000,0.054,low_ul
mre1,mr2,137686.615,138401.027,1000000,0.054,low_dl
mgs2,mre1,139227.282,143719.600,1000000,1202.346,trunk
mre1,mgs2,139227.282,143719.600,4000000,1202.346,trunk
mgs2,mre2,139466.333,143719.606,1000000,1202.344,trunk
mre2,mgs2,139466.333,143719.606,4000000,1202.344,trunk
mr2,mre3,141701.204,152945.523,15000000,0.076,low_ul
mre3,mr2,141701.204,152945.523,1000000,0.076,low_dl
mr1,mre2,141845.952,142385.078,15000000,0.053,low_ul
mre2,mr1,141845.952,142385.078,1000000,0.053,low_dl
mr1,mre1,158963.778,159603.109,15000000,0.054,low_ul
mre1,mr1,158963.778,159603.109,1000000,0.054,low_dl
mr2,mre2,164737.021,165056.505,15000000,0.053,low_ul
mre2,mr2,164737.021,165056.505,1000000,0.053,low_dl
mr1,mre1,166365.739,166625.332,15000000,0.054,low_ul
mre1,mr1,166365.739,166625.332,1000000,0.054,low_dl
mgs1,mre2,166646.228,170680.980,1000000,1202.216,trunk
mre2,mgs1,166646.228,170680.980,4000000,1202.216,trunk
mgs1,mre3,166646.252,210966.634,1000000,1202.199,trunk
mre3,mgs1,166646.252,210966.634,4000000,1202.199,trunk
mgs1,mre1,167617.516,173513.474,1000000,1202.214,trunk
mre1,mgs1,167617.516,173513.474,4000000,1202.214,trunk
mr1,mre3,168760.726,180008.381,15000000,0.076,low_ul
mre3,mr1,168760.726,180008.381,1000000,0.076,low_dl
mgs1,mre2,173009.672,177388.851,1000000,1202.181,trunk
mre2,mgs1,173009.672,177388.851,4000000,1202.181,trunk
mgs1,mre1,174715.035,180617.889,1000000,1202.173,trunk
mre1,mgs1,174715.035,180617.889,4000000,1202.173,trunk
mgs1,mre2,179718.347,184096.726,1000000,1202.143,trunk
mre2,mgs1,179718.347,184096.726,4000000,1202.143,trunk
mr2,mre3,180792.284,192377.281,15000000,0.076,low_ul
mre3,mr2,180792.284,192377.281,1000000,0.076,low_dl
mgs1,mre1,181812.530,187722.325,1000000,1202.133,trunk
mre1,mgs1,181812.530,187722.325,4000000,1202.133,trunk
mr2,mre1,184605.162,185327.287,15000000,0.054,low_ul
mre1,mr2,184605.162,185327.287,1000000,0.054,low_dl
mr1,mre2,184853.913,185295.640,15000000,0.053,low_ul
mre2,mr1,184853.913,185295.640,1000000,0.053,low_dl
mgs1,mre2,186427.021,190804.601,1000000,1202.108,trunk
mre2,mgs1,186427.021,190804.601,4000000,1202.108,trunk
mgs1,mre1,188909.994,194826.790,1000000,1202.097,trunk
